Seq_Recebimento_Canhoto,Nro_Nota_Fiscal,Serie_Nota_Fiscal,Data_Recebimento,Cod_Empresa,Nome_Fantasia_Empresa,Data_Hora_Inclusao,Cod_Usuario_Inclusao,Nome_Usuario,Nro_Unico,Cod_Parceiro,Nome_Parceiro,Data_Negociacao,Data_Prev_Fin,Nro_CTe,Observacao,Cod_Transportadora,Transportadora,Cod_Vendedor,Vendedor,Valor_Nota,Cod_Situacao_WMS,Status_WMS,Data_Recebimento_WMS,Conferencia_Final
109,548044,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:31:40,99,GUILHERME.SANTOS,1192446,941,CARLINHOS PECAS PCAMINHOES LTDA C014565,29012026 00:00:00,01022026 00:00:00,,,941,CARLINHOS PECAS PCAMINHOES LTDA C014565,7.0,NEVES,1233.0,,Sem WMS,,
108,548158,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:31:33,99,GUILHERME.SANTOS,1192447,941,CARLINHOS PECAS PCAMINHOES LTDA C014565,30012026 00:00:00,01022026 00:00:00,,,941,CARLINHOS PECAS PCAMINHOES LTDA C014565,7.0,NEVES,1036.0,,Sem WMS,,
107,131467,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:31:27,99,GUILHERME.SANTOS,1192449,1372,AUTO PECAS MAURILIO LTDA C004571,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,0.0,<SEM VENDEDOR>,170.0,,Sem WMS,,
106,728140,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:08:40,99,GUILHERME.SANTOS,1192153,198,EATON LTDA F000595,20012026 00:00:00,01022026 00:00:00,,,57165,CEVA LOGISTICS LTDA,9.0,PAULO BOVO,82.49,6.0,Armazenado,30012026 00:00:00,S
105,117859,,30012026 00:00:00,4,MMARRA - ARACATUBA (SP),30012026 19:07:42,99,GUILHERME.SANTOS,1187712,1,MMARRA  RIBEIRAO PRETO SP,27012026 00:00:00,01022026 00:00:00,,,22339,RODOCERTO TRANSPORTES LTDA,0.0,<SEM VENDEDOR>,481.53,,Sem WMS,,
104,33877,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:07:31,99,GUILHERME.SANTOS,1189680,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,28012026 00:00:00,01022026 00:00:00,,,56930,S M EXPRESS TRANSPORTES LTDA,7.0,NEVES,3263.42,0.0,Pendente,30012026 00:00:00,S
103,577843,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:07:21,99,GUILHERME.SANTOS,1191943,137,DINATEC PECAS E SERVICOS LTDA C001130,29012026 00:00:00,01022026 00:00:00,,,137,DINATEC PECAS E SERVICOS LTDA C001130,6.0,FELIPE PEREIRA,245.0,6.0,Armazenado,31012026 00:00:00,S
102,577922,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:07:13,99,GUILHERME.SANTOS,1192404,137,DINATEC PECAS E SERVICOS LTDA C001130,29012026 00:00:00,01022026 00:00:00,,,137,DINATEC PECAS E SERVICOS LTDA C001130,7.0,NEVES,936.0,6.0,Armazenado,31012026 00:00:00,S
101,577925,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:06:49,99,GUILHERME.SANTOS,1191916,137,DINATEC PECAS E SERVICOS LTDA C001130,29012026 00:00:00,01022026 00:00:00,,,137,DINATEC PECAS E SERVICOS LTDA C001130,7.0,NEVES,630.0,6.0,Armazenado,31012026 00:00:00,S
100,135274,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:06:38,99,GUILHERME.SANTOS,1191909,1466,ODAPEL DIST DE AUTO PECAS LTDA F005601,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,651.65,6.0,Armazenado,31012026 00:00:00,S
