CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;166;BUCHA COMANDO MWM 225 / 226 / 229 ASPIRADO E TURBINADO;166;101;LOCAL WMS; ;8;8;0;S;10102;CABECOTE
6;201;JOGO BRONZINA BIELA STD;201;101;LOCAL WMS; ;7;10;-3;S;10101;BLOCO DOS CILINDROS
6;245;ANEL ELASTICO EIXO CVS /1229A1301;245;101;LOCAL WMS; ;1;0;1;S;10501;DIFERENCIAL DIANTEIRO
6;322;CARCACA DE CAMBIO ;322;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;368;BOMBA AGUA MOTOR CUMMINS C MECANICO MOTORES 6C-8.3 / 6CT-8.3 / 6CTA-8.3 / 6CTAA-8.3 6 CIL;368;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;433;PISTAO C/ ANEIS STD;433;101;LOCAL WMS; ;6;6;0;S;10101;BLOCO DOS CILINDROS
6;855;ELEMENTO FILTRO OLEO COMBUSTIVEL (C/ COPO);855;101;LOCAL WMS; ;2;2;0;S;10801;FILTRO DE AR
6;2157;PRISIONEIRO TURBINA MWM X10 / VW 8140 / 8150;2157;101;LOCAL WMS; ;4;4;0;S;10102;CABECOTE
6;2652;ROLAMENTO BERCO PINHAO DIFERENCIAL;2652;101;LOCAL WMS; ;1;0;1;S;11001;ROLAMENTO
6;4158;RESPIRO CAMBIO CAIXA S5-420;4158;101;LOCAL WMS; ;1;1;0;S;10301;CARCACA DE MUDANCAS
6;4673;ARRUELA CALCO INFERIOR MOLA VALVULA MWM 225 / 226 / 229 / X10 / X12;4673;101;LOCAL WMS; ;4;8;-4;S;11503;ABRACADEIRAS
6;5010;PORCA PINHAO 40MM;5010;101;LOCAL WMS; ;1;0;1;S;10501;DIFERENCIAL DIANTEIRO
6;5012;JOGO BRONZINA BIELA STD CUMMINS 6 CILINDROS;5012;101;LOCAL WMS; ;1;1;0;S;10102;CABECOTE
6;5652;ROLAMENTO EXTERNO EIXO PILOTO;5652;101;LOCAL WMS; ;2;0;2;S;10301;CARCACA DE MUDANCAS
6;5900;PRISIONEIRO COLETOR;5900;101;LOCAL WMS; ;4;4;0;S;10101;BLOCO DOS CILINDROS
6;6635;COLA 3M ADESIVO P/ JUNTAS 73g;6635;101;LOCAL WMS; ;28;6;22;S;11101;LUBRIFICACAO DE MOTOR
6;6897;ANEL ELASTICO;6897;101;LOCAL WMS; ;4;0;4;S;10301;CARCACA DE MUDANCAS
6;6903;ANEL TRAVA ENGRENAGEM 3ª MARCHA MOVEL;6903;101;LOCAL WMS; ;2;0;2;S;10301;CARCACA DE MUDANCAS
6;6997;VOLANTE MOTOR CUMMINS SERIE C C/ CREMALHEIRA;6997;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;7071;"ANEL VEDADOR ELASTICO EM ""O"" 190,09X3,53";7071;101;LOCAL WMS; ;1;0;1;S;10501;DIFERENCIAL DIANTEIRO
6;7093;ANEL CAMISA CUMMINS SERIE C MECANICO / ELETRONICO;7093;101;LOCAL WMS; ;6;6;0;S;10102;CABECOTE
6;7243;MANGUEIRA RETORNO TURBINA CUMMINS SERIE B // C;7243;101;LOCAL WMS; ;2;2;0;S;10109;INJECAO COMBUSTIVEL
6;7251;TUCHO VALVULA CUMMINS B/C COMANDO FERRO/ACO  (N);7251;101;LOCAL WMS; ;20;1;19;S;10101;BLOCO DOS CILINDROS
6;7252;BOMBA OLEO LUBRIFICANTE MOTOR ;7252;101;LOCAL WMS; ;1;1;0;S;10104;VIRABREQUIM
6;7363;RETENTOR FLANGE CAMBIO;7363;101;LOCAL WMS; ;2;0;2;S;10301;CARCACA DE MUDANCAS
6;7459;CAIXA COMPLETA ANTERIOR/POSTERIOR;7459;101;LOCAL WMS; ;2;0;2;S;10501;DIFERENCIAL DIANTEIRO
6;7484;PINO PLASTICO AJUSTE COMANDO CUMMINS SERIC C MECANICO;7484;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;7519;CAIXA SATELITES DIFERENCIAL INTERMEDAIRIO COMPLETA;7519;101;LOCAL WMS; ;2;0;2;S;10501;DIFERENCIAL DIANTEIRO
6;7532;TUBO AR / COMBUSTIVEL LDA MOTOR CUMMINS;7532;101;LOCAL WMS; ;1;1;0;S;10109;INJECAO COMBUSTIVEL
6;7781;PRISIONEIRO TURBINA CUMMINS SERIE B / C MECANICO;7781;101;LOCAL WMS; ;8;8;0;S;10102;CABECOTE
6;7846;ARRUELA SELETIVA 6,604MM ENGRENAGEM 1ª MARCHA / RE;7846;101;LOCAL WMS; ;20;0;20;S;10301;CARCACA DE MUDANCAS
